PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
48,3,0,1,29.7,0,0,7.75,2
49,3,2,0,29.7,2,0,21.6792,1
50,3,1,1,18,1,0,17.8,0
51,3,3,0,7,4,1,39.6875,0
52,3,2,0,21,0,0,7.8,0
53,1,1,1,49,1,0,76.7292,1
54,2,1,1,29,1,0,26,0
55,1,2,0,65,0,1,61.9792,1
56,1,2,0,29.7,0,0,35.5,0
57,2,0,1,21,0,0,10.5,0
58,3,2,0,28.5,0,0,7.2292,1
59,2,0,1,5,1,2,27.75,0
60,3,3,0,11,5,2,46.9,0
61,3,2,0,22,0,0,7.2292,1
62,1,0,1,38,0,0,80,3
63,1,2,0,45,1,0,83.475,0
64,3,3,0,4,3,2,27.9,0
65,1,2,0,29.7,0,0,27.7208,1
66,3,3,0,29.7,1,1,15.2458,1
67,2,1,1,29,0,0,10.5,0
68,3,2,0,19,0,0,8.1583,0
69,3,0,1,17,4,2,7.925,0
70,3,2,0,26,2,0,8.6625,0
71,2,2,0,32,0,0,10.5,0
72,3,0,1,16,5,2,46.9,0
73,2,2,0,21,0,0,73.5,0
74,3,2,0,26,1,0,14.4542,1
75,3,2,0,32,0,0,56.4958,0
76,3,2,0,25,0,0,7.65,0
77,3,2,0,29.7,0,0,7.8958,0
78,3,2,0,29.7,0,0,8.05,0
79,2,3,0,0.83,0,2,29,0
80,3,0,1,30,0,0,12.475,0
81,3,2,0,22,0,0,9,0
82,3,2,0,29,0,0,9.5,0
83,3,0,1,29.7,0,0,7.7875,2
84,1,2,0,28,0,0,47.1,0
85,2,0,1,17,0,0,10.5,0
86,3,1,1,33,3,0,15.85,0
87,3,2,0,16,1,3,34.375,0
88,3,2,0,29.7,0,0,8.05,0
89,1,0,1,23,3,2,263,0
90,3,2,0,24,0,0,8.05,0
91,3,2,0,29,0,0,8.05,0
92,3,2,0,20,0,0,7.8542,0
93,1,2,0,46,1,0,61.175,0
94,3,2,0,26,1,2,20.575,0
95,3,2,0,59,0,0,7.25,0
96,3,2,0,29.7,0,0,8.05,0
97,1,2,0,71,0,0,34.6542,1
98,1,2,0,23,0,1,63.3583,1
99,2,1,1,34,0,1,23,0
100,2,2,0,34,1,0,26,0
101,3,0,1,28,0,0,7.8958,0
102,3,2,0,29.7,0,0,7.8958,0
103,1,2,0,21,0,1,77.2875,0
104,3,2,0,33,0,0,8.6542,0
105,3,2,0,37,2,0,7.925,0
106,3,2,0,28,0,0,7.8958,0
107,3,0,1,21,0,0,7.65,0
108,3,2,0,29.7,0,0,7.775,0
109,3,2,0,38,0,0,7.8958,0
110,3,0,1,29.7,1,0,24.15,2
111,1,2,0,47,0,0,52,0
112,3,0,1,14.5,1,0,14.4542,1
113,3,2,0,22,0,0,8.05,0
114,3,0,1,20,1,0,9.825,0
115,3,0,1,17,0,0,14.4583,1
116,3,2,0,21,0,0,7.925,0
117,3,2,0,70.5,0,0,7.75,2
118,2,2,0,29,1,0,21,0
119,1,2,0,24,0,1,247.5208,1
120,3,0,1,2,4,2,31.275,0
121,2,2,0,21,2,0,73.5,0
122,3,2,0,29.7,0,0,8.05,0
123,2,2,0,32.5,1,0,30.0708,1
124,2,0,1,32.5,0,0,13,0
125,1,2,0,54,0,1,77.2875,0
126,3,3,0,12,1,0,11.2417,1
127,3,2,0,29.7,0,0,7.75,2
128,3,2,0,24,0,0,7.1417,0
129,3,0,1,29.7,1,1,22.3583,1
130,3,2,0,45,0,0,6.975,0
131,3,2,0,33,0,0,7.8958,1
132,3,2,0,20,0,0,7.05,0
133,3,1,1,47,1,0,14.5,0
134,2,1,1,29,1,0,26,0
135,2,2,0,25,0,0,13,0
136,2,2,0,23,0,0,15.0458,1
137,1,0,1,19,0,2,26.2833,0
138,1,2,0,37,1,0,53.1,0
139,3,2,0,16,0,0,9.2167,0
140,1,2,0,24,0,0,79.2,1
141,3,1,1,29.7,0,2,15.2458,1
142,3,0,1,22,0,0,7.75,0
143,3,1,1,24,1,0,15.85,0
144,3,2,0,19,0,0,6.75,2
145,2,2,0,18,0,0,11.5,0
146,2,2,0,19,1,1,36.75,0
147,3,2,0,27,0,0,7.7958,0
148,3,0,1,9,2,2,34.375,0
149,2,2,0,36.5,0,2,26,0
150,2,5,0,42,0,0,13,0
151,2,5,0,51,0,0,12.525,0
152,1,1,1,22,1,0,66.6,0
153,3,2,0,55.5,0,0,8.05,0
154,3,2,0,40.5,0,2,14.5,0
155,3,2,0,29.7,0,0,7.3125,0
156,1,2,0,51,0,1,61.3792,1
157,3,0,1,16,0,0,7.7333,2
158,3,2,0,30,0,0,8.05,0
159,3,2,0,29.7,0,0,8.6625,0
160,3,3,0,29.7,8,2,69.55,0
161,3,2,0,44,0,1,16.1,0
162,2,1,1,40,0,0,15.75,0
163,3,2,0,26,0,0,7.775,0
164,3,2,0,17,0,0,8.6625,0
165,3,3,0,1,4,1,39.6875,0
166,3,3,0,9,0,2,20.525,0
167,1,1,1,29.7,0,1,55,0
168,3,1,1,45,1,4,27.9,0
169,1,2,0,29.7,0,0,25.925,0
170,3,2,0,28,0,0,56.4958,0
171,1,2,0,61,0,0,33.5,0
172,3,3,0,4,4,1,29.125,2
173,3,0,1,1,1,1,11.1333,0
174,3,2,0,21,0,0,7.925,0
175,1,2,0,56,0,0,30.6958,1
176,3,2,0,18,1,1,7.8542,0
177,3,3,0,29.7,3,1,25.4667,0
178,1,0,1,50,0,0,28.7125,1
179,2,2,0,30,0,0,13,0
180,3,2,0,36,0,0,0,0
181,3,0,1,29.7,8,2,69.55,0
182,2,2,0,29.7,0,0,15.05,1
183,3,3,0,9,4,2,31.3875,0
184,2,3,0,1,2,1,39,0
185,3,0,1,4,0,2,22.025,0
186,1,2,0,29.7,0,0,50,0
187,3,1,1,29.7,1,0,15.5,2
188,1,2,0,45,0,0,26.55,0
189,3,2,0,40,1,1,15.5,2
190,3,2,0,36,0,0,7.8958,0
191,2,1,1,32,0,0,13,0
192,2,2,0,19,0,0,13,0
193,3,0,1,19,1,0,7.8542,0
194,2,3,0,3,1,1,26,0
195,1,1,1,44,0,0,27.7208,1
196,1,0,1,58,0,0,146.5208,1
197,3,2,0,29.7,0,0,7.75,2
198,3,2,0,42,0,1,8.4042,0
199,3,0,1,29.7,0,0,7.75,2
200,2,0,1,24,0,0,13,0
201,3,2,0,28,0,0,9.5,0
202,3,2,0,29.7,8,2,69.55,0
203,3,2,0,34,0,0,6.4958,0
204,3,2,0,45.5,0,0,7.225,1
205,3,2,0,18,0,0,8.05,0
206,3,0,1,2,0,1,10.4625,0
207,3,2,0,32,1,0,15.85,0
208,3,2,0,26,0,0,18.7875,1
209,3,0,1,16,0,0,7.75,2
210,1,2,0,40,0,0,31,1
211,3,2,0,24,0,0,7.05,0
212,2,0,1,35,0,0,21,0
213,3,2,0,22,0,0,7.25,0
214,2,2,0,30,0,0,13,0
215,3,2,0,29.7,1,0,7.75,2
216,1,0,1,31,1,0,113.275,1
217,3,0,1,27,0,0,7.925,0
218,2,2,0,42,1,0,27,0
219,1,0,1,32,0,0,76.2917,1
220,2,2,0,30,0,0,10.5,0
221,3,2,0,16,0,0,8.05,0
222,2,2,0,27,0,0,13,0
223,3,2,0,51,0,0,8.05,0
224,3,2,0,29.7,0,0,7.8958,0
225,1,2,0,38,1,0,90,0
226,3,2,0,22,0,0,9.35,0
227,2,2,0,19,0,0,10.5,0
228,3,2,0,20.5,0,0,7.25,0
229,2,2,0,18,0,0,13,0
230,3,0,1,29.7,3,1,25.4667,0
231,1,1,1,35,1,0,83.475,0
232,3,2,0,29,0,0,7.775,0
233,2,2,0,59,0,0,13.5,0
234,3,0,1,5,4,2,31.3875,0
235,2,2,0,24,0,0,10.5,0
236,3,0,1,29.7,0,0,7.55,0
237,2,2,0,44,1,0,26,0
238,2,0,1,8,0,2,26.25,0
239,2,2,0,19,0,0,10.5,0
240,2,2,0,33,0,0,12.275,0
241,3,0,1,29.7,1,0,14.4542,1
242,3,0,1,29.7,1,0,15.5,2
243,2,2,0,29,0,0,10.5,0
244,3,2,0,22,0,0,7.125,0
245,3,2,0,30,0,0,7.225,1
246,1,4,0,44,2,0,90,2
247,3,0,1,25,0,0,7.775,0
248,2,1,1,24,0,2,14.5,0
249,1,2,0,37,1,1,52.5542,0
250,2,5,0,54,1,0,26,0
251,3,2,0,29.7,0,0,7.25,0
252,3,1,1,29,1,1,10.4625,0
253,1,2,0,62,0,0,26.55,0
254,3,2,0,30,1,0,16.1,0
255,3,1,1,41,0,2,20.2125,0
256,3,1,1,29,0,2,15.2458,1
257,1,1,1,29.7,0,0,79.2,1
258,1,0,1,30,0,0,86.5,0
259,1,0,1,35,0,0,512.3292,1
260,2,1,1,50,0,1,26,0
261,3,2,0,29.7,0,0,7.75,2
262,3,3,0,3,4,2,31.3875,0
263,1,2,0,52,1,1,79.65,0
264,1,2,0,40,0,0,0,0
265,3,0,1,29.7,0,0,7.75,2
266,2,2,0,36,0,0,10.5,0
267,3,2,0,16,4,1,39.6875,0
268,3,2,0,25,1,0,7.775,0
269,1,1,1,58,0,1,153.4625,0
270,1,0,1,35,0,0,135.6333,0
271,1,2,0,29.7,0,0,31,0
272,3,2,0,25,0,0,0,0
273,2,1,1,41,0,1,19.5,0
274,1,2,0,37,0,1,29.7,1
275,3,0,1,29.7,0,0,7.75,2
276,1,0,1,63,1,0,77.9583,0
277,3,0,1,45,0,0,7.75,0
278,2,2,0,29.7,0,0,0,0
279,3,3,0,7,4,1,29.125,2
280,3,1,1,35,1,1,20.25,0
281,3,2,0,65,0,0,7.75,2
282,3,2,0,28,0,0,7.8542,0
283,3,2,0,16,0,0,9.5,0
284,3,2,0,19,0,0,8.05,0
285,1,2,0,29.7,0,0,26,0
286,3,2,0,33,0,0,8.6625,1
287,3,2,0,30,0,0,9.5,0
288,3,2,0,22,0,0,7.8958,0
289,2,2,0,42,0,0,13,0
290,3,0,1,22,0,0,7.75,2
291,1,0,1,26,0,0,78.85,0
292,1,1,1,19,1,0,91.0792,1
293,2,2,0,36,0,0,12.875,1
294,3,0,1,24,0,0,8.85,0
295,3,2,0,24,0,0,7.8958,0
296,1,2,0,29.7,0,0,27.7208,1
297,3,2,0,23.5,0,0,7.2292,1
298,1,0,1,2,1,2,151.55,0
299,1,2,0,29.7,0,0,30.5,0
300,1,1,1,50,0,1,247.5208,1
301,3,0,1,29.7,0,0,7.75,2
302,3,2,0,29.7,2,0,23.25,2
303,3,2,0,19,0,0,0,0
304,2,0,1,29.7,0,0,12.35,2
305,3,2,0,29.7,0,0,8.05,0
306,1,3,0,0.92,1,2,151.55,0
307,1,0,1,29.7,0,0,110.8833,1
308,1,1,1,17,1,0,108.9,1
309,2,2,0,30,1,0,24,1
310,1,0,1,30,0,0,56.9292,1
311,1,0,1,24,0,0,83.1583,1
312,1,0,1,18,2,2,262.375,1
313,2,1,1,26,1,1,26,0
314,3,2,0,28,0,0,7.8958,0
315,2,2,0,43,1,1,26.25,0
316,3,0,1,26,0,0,7.8542,0
317,2,1,1,24,1,0,26,0
318,2,4,0,54,0,0,14,0
319,1,0,1,31,0,2,164.8667,0
320,1,1,1,40,1,1,134.5,1
321,3,2,0,22,0,0,7.25,0
322,3,2,0,27,0,0,7.8958,0
323,2,0,1,30,0,0,12.35,2
324,2,1,1,22,1,1,29,0
325,3,2,0,29.7,8,2,69.55,0
326,1,0,1,36,0,0,135.6333,1
327,3,2,0,61,0,0,6.2375,0
328,2,1,1,36,0,0,13,0
329,3,1,1,31,1,1,20.525,0
330,1,0,1,16,0,1,57.9792,1
331,3,0,1,29.7,2,0,23.25,2
332,1,2,0,45.5,0,0,28.5,0
333,1,2,0,38,0,1,153.4625,0
334,3,2,0,16,2,0,18,0
335,1,1,1,29.7,1,0,133.65,0
336,3,2,0,29.7,0,0,7.8958,0
337,1,2,0,29,1,0,66.6,0
338,1,0,1,41,0,0,134.5,1
339,3,2,0,45,0,0,8.05,0
340,1,2,0,45,0,0,35.5,0
341,2,3,0,2,1,1,26,0
342,1,0,1,24,3,2,263,0
343,2,2,0,28,0,0,13,0
344,2,2,0,25,0,0,13,0
345,2,2,0,36,0,0,13,0
346,2,0,1,24,0,0,13,0
347,2,0,1,40,0,0,13,0
348,3,1,1,29.7,1,0,16.1,0
349,3,3,0,3,1,1,15.9,0
350,3,2,0,42,0,0,8.6625,0
351,3,2,0,23,0,0,9.225,0
352,1,2,0,29.7,0,0,35,0
353,3,2,0,15,1,1,7.2292,1
354,3,2,0,25,1,0,17.8,0
355,3,2,0,29.7,0,0,7.225,1
356,3,2,0,28,0,0,9.5,0
357,1,0,1,22,0,1,55,0
358,2,0,1,38,0,0,13,0
359,3,0,1,29.7,0,0,7.8792,2
360,3,0,1,29.7,0,0,7.8792,2
361,3,2,0,40,1,4,27.9,0
362,2,2,0,29,1,0,27.7208,1
363,3,1,1,45,0,1,14.4542,1
364,3,2,0,35,0,0,7.05,0
365,3,2,0,29.7,1,0,15.5,2
366,3,2,0,30,0,0,7.25,0
367,1,1,1,60,1,0,75.25,1
368,3,1,1,29.7,0,0,7.2292,1
369,3,0,1,29.7,0,0,7.75,2
370,1,6,1,24,0,0,69.3,1
371,1,2,0,25,1,0,55.4417,1
372,3,2,0,18,1,0,6.4958,0
373,3,2,0,19,0,0,8.05,0
374,1,2,0,22,0,0,135.6333,1
375,3,0,1,3,3,1,21.075,0
376,1,1,1,29.7,1,0,82.1708,1
377,3,0,1,22,0,0,7.25,0
378,1,2,0,27,0,2,211.5,1
379,3,2,0,20,0,0,4.0125,1
380,3,2,0,19,0,0,7.775,0
381,1,0,1,42,0,0,227.525,1
382,3,0,1,1,0,2,15.7417,1
383,3,2,0,32,0,0,7.925,0
384,1,1,1,35,1,0,52,0
385,3,2,0,29.7,0,0,7.8958,0
386,2,2,0,18,0,0,73.5,0
387,3,3,0,1,5,2,46.9,0
388,2,0,1,36,0,0,13,0
389,3,2,0,29.7,0,0,7.7292,2
390,2,0,1,17,0,0,12,1
391,1,2,0,36,1,2,120,0
392,3,2,0,21,0,0,7.7958,0
393,3,2,0,28,2,0,7.925,0
394,1,0,1,23,1,0,113.275,1
395,3,1,1,24,0,2,16.7,0
396,3,2,0,22,0,0,7.7958,0
397,3,0,1,31,0,0,7.8542,0
398,2,2,0,46,0,0,26,0
399,2,4,0,23,0,0,10.5,0
400,2,1,1,28,0,0,12.65,0
401,3,2,0,39,0,0,7.925,0
402,3,2,0,26,0,0,8.05,0
403,3,0,1,21,1,0,9.825,0
404,3,2,0,28,1,0,15.85,0
405,3,0,1,20,0,0,8.6625,0
406,2,2,0,34,1,0,21,0
407,3,2,0,51,0,0,7.75,0
408,2,3,0,3,1,1,18.75,0
409,3,2,0,21,0,0,7.775,0
410,3,0,1,29.7,3,1,25.4667,0
411,3,2,0,29.7,0,0,7.8958,0
412,3,2,0,29.7,0,0,6.8583,2
413,1,0,1,33,1,0,90,2
414,2,2,0,29.7,0,0,0,0
415,3,2,0,44,0,0,7.925,0
416,3,1,1,29.7,0,0,8.05,0
417,2,1,1,34,1,1,32.5,0
418,2,0,1,18,0,2,13,0
419,2,2,0,30,0,0,13,0
420,3,0,1,10,0,2,24.15,0
421,3,2,0,29.7,0,0,7.8958,1
422,3,2,0,21,0,0,7.7333,2
423,3,2,0,29,0,0,7.875,0
424,3,1,1,28,1,1,14.4,0
425,3,2,0,18,1,1,20.2125,0
426,3,2,0,29.7,0,0,7.25,0
427,2,1,1,28,1,0,26,0
428,2,0,1,19,0,0,26,0
429,3,2,0,29.7,0,0,7.75,2
430,3,2,0,32,0,0,8.05,0
431,1,2,0,28,0,0,26.55,0
432,3,1,1,29.7,1,0,16.1,0
433,2,1,1,42,1,0,26,0
434,3,2,0,17,0,0,7.125,0
435,1,2,0,50,1,0,55.9,0
436,1,0,1,14,1,2,120,0
437,3,0,1,21,2,2,34.375,0
438,2,1,1,24,2,3,18.75,0
439,1,2,0,64,1,4,263,0
440,2,2,0,31,0,0,10.5,0
441,2,1,1,45,1,1,26.25,0
442,3,2,0,20,0,0,9.5,0
443,3,2,0,25,1,0,7.775,0
444,2,5,1,28,0,0,13,0
445,3,2,0,29.7,0,0,8.1125,0
446,1,3,0,4,0,2,81.8583,0
447,2,0,1,13,0,1,19.5,0
448,1,2,0,34,0,0,26.55,0
449,3,0,1,5,2,1,19.2583,1
450,1,5,0,52,0,0,30.5,0
451,2,2,0,36,1,2,27.75,0
452,3,2,0,29.7,1,0,19.9667,0
453,1,2,0,30,0,0,27.75,1
454,1,2,0,49,1,0,89.1042,1
455,3,2,0,29.7,0,0,8.05,0
456,3,2,0,29,0,0,7.8958,1
457,1,2,0,65,0,0,26.55,0
458,1,1,1,29.7,1,0,51.8625,0
459,2,0,1,50,0,0,10.5,0
460,3,2,0,29.7,0,0,7.75,2
461,1,2,0,48,0,0,26.55,0
462,3,2,0,34,0,0,8.05,0
463,1,2,0,47,0,0,38.5,0
464,2,2,0,48,0,0,13,0
465,3,2,0,29.7,0,0,8.05,0
466,3,2,0,38,0,0,7.05,0
467,2,2,0,29.7,0,0,0,0
468,1,2,0,56,0,0,26.55,0
469,3,2,0,29.7,0,0,7.725,2
470,3,0,1,0.75,2,1,19.2583,1
471,3,2,0,29.7,0,0,7.25,0
472,3,2,0,38,0,0,8.6625,0
473,2,1,1,33,1,2,27.75,0
474,2,1,1,23,0,0,13.7917,1
475,3,0,1,22,0,0,9.8375,0
476,1,2,0,29.7,0,0,52,0
477,2,2,0,34,1,0,21,0
478,3,2,0,29,1,0,7.0458,0
479,3,2,0,22,0,0,7.5208,0
480,3,0,1,2,0,1,12.2875,0
481,3,3,0,9,5,2,46.9,0
482,2,2,0,29.7,0,0,0,0
483,3,2,0,50,0,0,8.05,0
484,3,1,1,63,0,0,9.5875,0
485,1,2,0,25,1,0,91.0792,1
486,3,0,1,29.7,3,1,25.4667,0
487,1,1,1,35,1,0,90,0
488,1,2,0,58,0,0,29.7,1
489,3,2,0,30,0,0,8.05,0
490,3,3,0,9,1,1,15.9,0
491,3,2,0,29.7,1,0,19.9667,0
492,3,2,0,21,0,0,7.25,0
493,1,2,0,55,0,0,30.5,0
494,1,2,0,71,0,0,49.5042,1
495,3,2,0,21,0,0,8.05,0
496,3,2,0,29.7,0,0,14.4583,1
497,1,0,1,54,1,0,78.2667,1
498,3,2,0,29.7,0,0,15.1,0
499,1,1,1,25,1,2,151.55,0
500,3,2,0,24,0,0,7.7958,0
501,3,2,0,17,0,0,8.6625,0
502,3,0,1,21,0,0,7.75,2
503,3,0,1,29.7,0,0,7.6292,2
504,3,0,1,37,0,0,9.5875,0
505,1,0,1,16,0,0,86.5,0
506,1,2,0,18,1,0,108.9,1
507,2,1,1,33,0,2,26,0
508,1,2,0,29.7,0,0,26.55,0
509,3,2,0,28,0,0,22.525,0
510,3,2,0,26,0,0,56.4958,0
511,3,2,0,29,0,0,7.75,2
512,3,2,0,29.7,0,0,8.05,0
513,1,2,0,36,0,0,26.2875,0
514,1,1,1,54,1,0,59.4,1
515,3,2,0,24,0,0,7.4958,0
516,1,2,0,47,0,0,34.0208,0
517,2,1,1,34,0,0,10.5,0
518,3,2,0,29.7,0,0,24.15,2
519,2,1,1,36,1,0,26,0
520,3,2,0,32,0,0,7.8958,0
521,1,0,1,30,0,0,93.5,0
522,3,2,0,22,0,0,7.8958,0
523,3,2,0,29.7,0,0,7.225,1
524,1,1,1,44,0,1,57.9792,1
525,3,2,0,29.7,0,0,7.2292,1
526,3,2,0,40.5,0,0,7.75,2
527,2,0,1,50,0,0,10.5,0
528,1,2,0,29.7,0,0,221.7792,0
529,3,2,0,39,0,0,7.925,0
530,2,2,0,23,2,1,11.5,0
531,2,0,1,2,1,1,26,0
532,3,2,0,29.7,0,0,7.2292,1
533,3,2,0,17,1,1,7.2292,1
534,3,1,1,29.7,0,2,22.3583,1
535,3,0,1,30,0,0,8.6625,0
536,2,0,1,7,0,2,26.25,0
537,1,5,0,45,0,0,26.55,0
538,1,0,1,30,0,0,106.425,1
539,3,2,0,29.7,0,0,14.5,0
540,1,0,1,22,0,2,49.5,1
541,1,0,1,36,0,2,71,0
542,3,0,1,9,4,2,31.275,0
543,3,0,1,11,4,2,31.275,0
544,2,2,0,32,1,0,26,0
545,1,2,0,50,1,0,106.425,1
546,1,2,0,64,0,0,26,0
547,2,1,1,19,1,0,26,0
548,2,2,0,29.7,0,0,13.8625,1
549,3,2,0,33,1,1,20.525,0
550,2,3,0,8,1,1,36.75,0
551,1,2,0,17,0,2,110.8833,1
552,2,2,0,27,0,0,26,0
553,3,2,0,29.7,0,0,7.8292,2
554,3,2,0,22,0,0,7.225,1
555,3,0,1,22,0,0,7.775,0
556,1,2,0,62,0,0,26.55,0
557,1,1,1,48,1,0,39.6,1
558,1,2,0,29.7,0,0,227.525,1
559,1,1,1,39,1,1,79.65,0
560,3,1,1,36,1,0,17.4,0
561,3,2,0,29.7,0,0,7.75,2
562,3,2,0,40,0,0,7.8958,0
563,2,2,0,28,0,0,13.5,0
564,3,2,0,29.7,0,0,8.05,0
565,3,0,1,29.7,0,0,8.05,0
566,3,2,0,24,2,0,24.15,0
567,3,2,0,19,0,0,7.8958,0
568,3,1,1,29,0,4,21.075,0
569,3,2,0,29.7,0,0,7.2292,1
570,3,2,0,32,0,0,7.8542,0
571,2,2,0,62,0,0,10.5,0
572,1,1,1,53,2,0,51.4792,0
573,1,2,0,36,0,0,26.3875,0
574,3,0,1,29.7,0,0,7.75,2
575,3,2,0,16,0,0,8.05,0
576,3,2,0,19,0,0,14.5,0
577,2,0,1,34,0,0,13,0
578,1,1,1,39,1,0,55.9,0
579,3,1,1,29.7,1,0,14.4583,1
580,3,2,0,32,0,0,7.925,0
581,2,0,1,25,1,1,30,0
582,1,1,1,39,1,1,110.8833,1
583,2,2,0,54,0,0,26,0
584,1,2,0,36,0,0,40.125,1
585,3,2,0,29.7,0,0,8.7125,1
586,1,0,1,18,0,2,79.65,0
587,2,2,0,47,0,0,15,0
588,1,2,0,60,1,1,79.2,1
589,3,2,0,22,0,0,8.05,0
590,3,2,0,29.7,0,0,8.05,0
591,3,2,0,35,0,0,7.125,0
592,1,1,1,52,1,0,78.2667,1
593,3,2,0,47,0,0,7.25,0
594,3,0,1,29.7,0,2,7.75,2
595,2,2,0,37,1,0,26,0
596,3,2,0,36,1,1,24.15,0
597,2,0,1,29.7,0,0,33,0
598,3,2,0,49,0,0,0,0
599,3,2,0,29.7,0,0,7.225,1
600,1,2,0,49,1,0,56.9292,1
601,2,1,1,24,2,1,27,0
602,3,2,0,29.7,0,0,7.8958,0
603,1,2,0,29.7,0,0,42.4,0
604,3,2,0,44,0,0,8.05,0
605,1,2,0,35,0,0,26.55,1
606,3,2,0,36,1,0,15.55,0
607,3,2,0,30,0,0,7.8958,0
608,1,2,0,27,0,0,30.5,0
609,2,1,1,22,1,2,41.5792,1
610,1,0,1,40,0,0,153.4625,0
611,3,1,1,39,1,5,31.275,0
612,3,2,0,29.7,0,0,7.05,0
613,3,0,1,29.7,1,0,15.5,2
614,3,2,0,29.7,0,0,7.75,2
615,3,2,0,35,0,0,8.05,0
616,2,0,1,24,1,2,65,0
617,3,2,0,34,1,1,14.4,0
618,3,1,1,26,1,0,16.1,0
619,2,0,1,4,2,1,39,0
620,2,2,0,26,0,0,10.5,0
621,3,2,0,27,1,0,14.4542,1
622,1,2,0,42,1,0,52.5542,0
623,3,2,0,20,1,1,15.7417,1
624,3,2,0,21,0,0,7.8542,0
625,3,2,0,21,0,0,16.1,0
626,1,2,0,61,0,0,32.3208,0
627,2,5,0,57,0,0,12.35,2
628,1,0,1,21,0,0,77.9583,0
629,3,2,0,26,0,0,7.8958,0
630,3,2,0,29.7,0,0,7.7333,2
631,1,2,0,80,0,0,30,0
632,3,2,0,51,0,0,7.0542,0
633,1,4,0,32,0,0,30.5,1
634,1,2,0,29.7,0,0,0,0
635,3,0,1,9,3,2,27.9,0
636,2,0,1,28,0,0,13,0
637,3,2,0,32,0,0,7.925,0
638,2,2,0,31,1,1,26.25,0
639,3,1,1,41,0,5,39.6875,0
640,3,2,0,29.7,1,0,16.1,0
641,3,2,0,20,0,0,7.8542,0
642,1,6,1,24,0,0,69.3,1
643,3,0,1,2,3,2,27.9,0
644,3,2,0,29.7,0,0,56.4958,0
645,3,0,1,0.75,2,1,19.2583,1
646,1,2,0,48,1,0,76.7292,1
647,3,2,0,19,0,0,7.8958,0
648,1,5,0,56,0,0,35.5,1
649,3,2,0,29.7,0,0,7.55,0
650,3,0,1,23,0,0,7.55,0
651,3,2,0,29.7,0,0,7.8958,0
652,2,0,1,18,0,1,23,0
653,3,2,0,21,0,0,8.4333,0
654,3,0,1,29.7,0,0,7.8292,2
655,3,0,1,18,0,0,6.75,2
656,2,2,0,24,2,0,73.5,0
657,3,2,0,29.7,0,0,7.8958,0
658,3,1,1,32,1,1,15.5,2
659,2,2,0,23,0,0,13,0
660,1,2,0,58,0,2,113.275,1
661,1,4,0,50,2,0,133.65,0
662,3,2,0,40,0,0,7.225,1
663,1,2,0,47,0,0,25.5875,0
664,3,2,0,36,0,0,7.4958,0
665,3,2,0,20,1,0,7.925,0
666,2,2,0,32,2,0,73.5,0
667,2,2,0,25,0,0,13,0
668,3,2,0,29.7,0,0,7.775,0
669,3,2,0,43,0,0,8.05,0
670,1,1,1,29.7,1,0,52,0
671,2,1,1,40,1,1,39,0
672,1,2,0,31,1,0,52,0
673,2,2,0,70,0,0,10.5,0
674,2,2,0,31,0,0,13,0
675,2,2,0,29.7,0,0,0,0
676,3,2,0,18,0,0,7.775,0
677,3,2,0,24.5,0,0,8.05,0
678,3,0,1,18,0,0,9.8417,0
679,3,1,1,43,1,6,46.9,0
680,1,2,0,36,0,1,512.3292,1
681,3,0,1,29.7,0,0,8.1375,2
